"","X","CampaignURL","numSupporters","TeamOrAthlete","AmountAdjusted","Success","Wordcount","NarcissismFactor","joy","sadness","negative","positive","fear","trust","FundingGoalAdjusted","id","num_rows"
"47",124,"https://sportfunder.com/connorshackelofrd/29916",0,"teams",0,"fail",68,6.255,3,0,1,4,0,3,1000,83,716
"48",682,"https://sportfunder.com/bradprescott/29140",0,"teams",0,"fail",119,8.779,5,2,3,9,2,5,793.38,481,716
"49",230,"https://sportfunder.com/koracooper/28074",0,"teams",0,"fail",95,6.841,6,0,2,8,1,7,6000,158,716
"50",233,"https://sportfunder.com/lmnphilippines/25734",2,"teams",0,"fail",156,24.024,9,0,1,15,0,16,15000,160,716
"51",107,"https://sportfunder.com/falconscc/27776",0,"teams",0,"fail",148,7.732,5,1,5,13,3,6,3000,74,716
"52",423,"https://sportfunder.com/bellerebelfreestyle/25921",96,"teams",2909,"fail",265,30.379,9,2,6,20,3,19,6000,297,716
"53",640,"https://sportfunder.com/woodstudgameproject/30992",0,"teams",0,"fail",162,9.827,4,2,8,13,3,6,2e+05,451,716
"54",619,"https://sportfunder.com/karah/31463",0,"teams",0,"fail",48,4.415,3,0,0,4,0,3,2000,434,716
"55",701,"https://sportfunder.com/teamswedenallgirl/23756",110,"teams",84.4475,"fail",50,2.374,3,0,0,3,0,4,9935,496,716
"56",278,"https://sportfunder.com/kcvavolleyball15red/29144",2,"teams",355,"fail",86,12.458,4,0,0,5,0,13,3000,190,716
"57",856,"https://sportfunder.com/kira/31822",10,"teams",165,"fail",74,5.313,4,1,1,6,0,5,2000,608,716
"58",385,"https://sportfunder.com/jamesibrahim/26737",19,"teams",0,"fail",355,33.42,2,3,7,14,2,7,25000,272,716
"59",216,"https://sportfunder.com/bucharestathleticsassociation/29537",0,"teams",0,"fail",127,7.863,9,1,1,12,1,13,894.15,150,716
"60",510,"https://sportfunder.com/kccare/26684",38,"teams",800,"fail",136,10.596,7,0,3,12,1,15,3000,354,716
"61",76,"https://sportfunder.com/amakirikelvin/30828",0,"teams",0,"fail",48,4.415,3,0,0,4,0,3,20000,51,716
"62",613,"https://sportfunder.com/leecrossland/28099",0,"teams",0,"fail",598,76.959,14,7,17,30,10,39,2980.5,429,716
"63",1065,"https://sportfunder.com/savaantic/5046",20,"teams",576,"fail",134,5.838,11,0,0,11,1,15,750,754,716
"64",228,"https://sportfunder.com/dnaracingteam/29530",0,"teams",0,"fail",129,11.105,4,0,3,8,1,15,20000,156,716
"65",894,"https://sportfunder.com/teammiles/2605",56,"teams",3005,"fail",264,30.906,11,0,4,16,1,25,6470,637,716
"66",45,"https://sportfunder.com/daveford/26608",38,"teams",0,"fail",135,4,3,0,1,11,1,12,3000,32,716
"67",650,"https://sportfunder.com/deidra/31251",2,"teams",25,"fail",60,2.146,4,1,4,6,0,6,1800,459,716
"68",1079,"https://sportfunder.com/andyshields/7866",3,"teams",150,"fail",147,11.373,4,0,3,9,1,9,750,764,716
"69",393,"https://sportfunder.com/alexanderhaserodt/29464",0,"teams",0,"fail",99,10.523,5,0,0,9,1,6,19870,278,716
"70",500,"https://sportfunder.com/nevelledurawo/28671",0,"teams",0,"fail",86,9.577,3,0,4,8,2,3,1000,345,716
"71",718,"https://sportfunder.com/alexandragagnon/4122",6,"teams",231,"fail",30,7.165,1,0,0,6,0,3,750,510,716
"72",949,"https://sportfunder.com/dashaadjohnson/31579",2,"teams",120,"fail",47,4.415,3,0,0,4,0,3,120,674,716
"73",1039,"https://sportfunder.com/mayathebee/40314",13,"teams",745,"fail",244,18.835,14,4,10,21,6,14,3000,741,716
"74",489,"https://sportfunder.com/romanipeoplefootballteam/24259",2,"teams",0,"fail",77,1.961,2,0,3,4,1,11,4967.5,335,716
"75",878,"https://sportfunder.com/canada4rio/24420",2,"teams",4670,"fail",74,5.287,2,1,4,3,2,4,2e+05,626,716
"76",527,"https://sportfunder.com/rene/23485",0,"teams",0,"fail",181,17.439,8,0,4,16,0,18,1200,366,716
"77",191,"https://sportfunder.com/sophie/27941",4,"teams",405,"fail",44,5.107,1,0,0,4,0,4,500,135,716
"78",651,"https://sportfunder.com/saucefambasketballclub/30997",0,"teams",0,"fail",156,11.516,6,0,3,12,2,12,3500,460,716
"79",779,"https://sportfunder.com/sequoyahmiddleschoolboysbasketball/29917",0,"teams",0,"fail",204,17.238,7,0,2,9,0,18,2000,550,716
"80",232,"https://sportfunder.com/upstreetdanceclub/25353",12,"teams",360,"fail",147,15.4,10,0,3,16,2,15,20000,159,716
"81",183,"https://sportfunder.com/cheekathletics/29154",2,"teams",50,"fail",119,8.059,4,0,3,7,1,7,4000,128,716
"82",939,"https://sportfunder.com/conestogagirlsbasketball/31258",84,"teams",2790,"fail",150,18.513,9,2,3,19,3,15,3000,668,716
"83",839,"https://sportfunder.com/nivethajessica/29600",0,"teams",0,"fail",96,11.886,3,0,1,10,2,6,2000,596,716
"84",64,"https://sportfunder.com/vikasshukla/28337",0,"teams",0,"fail",73,3.64,2,0,2,2,0,4,566.7,42,716
"85",269,"https://sportfunder.com/zea-dinejanuarie/29620",0,"teams",0,"fail",108,11.845,2,0,2,4,0,10,3000,185,716
"86",872,"https://sportfunder.com/albertaworldcupacademy/6026",16,"teams",1000,"fail",184,24.18,10,0,0,20,0,19,3000,622,716
"87",642,"https://sportfunder.com/hopeisalivesoccerfoundationteam/29286",0,"teams",0,"fail",334,41.055,15,3,14,36,7,14,10000,453,716
"88",1030,"https://sportfunder.com/ulyanabatashova/29533",0,"teams",0,"fail",102,14.736,3,0,1,7,1,3,280,735,716
"89",716,"https://sportfunder.com/micheleschiebel/31377",22,"teams",480,"fail",44,1.24,1,0,0,2,0,3,600,508,716
"90",978,"https://sportfunder.com/a-coroyals/27919",2,"teams",10,"fail",184,11.135,7,0,1,12,1,17,3750,696,716
"91",789,"https://sportfunder.com/acscrossoverdeva/27715",10,"teams",1.987,"fail",402,17.213,7,1,9,13,4,20,1192200,558,716
"92",850,"https://sportfunder.com/maxmiller/31860",53,"teams",2530,"fail",67,5.329,3,0,0,4,0,4,3000,603,716
"93",778,"https://sportfunder.com/jcc/21292",0,"teams",0,"fail",277,18.598,9,0,6,23,3,24,3000,549,716
"94",219,"https://sportfunder.com/cwp/23784",0,"teams",0,"fail",110,7.934,3,0,2,10,2,7,5000,152,716
"95",1080,"https://sportfunder.com/shadyenahas/114",5,"teams",186.1,"fail",31,5.313,2,0,1,3,1,4,1000,765,716
"96",757,"https://sportfunder.com/cheerleaders/29351",0,"teams",0,"fail",59,10.032,4,0,1,6,3,3,250,535,716
"97",1104,"https://sportfunder.com/teamcanadauniversityworldchampswomensfourw/9734",2,"teams",6675,"fail",109,12.565,3,0,5,6,0,7,8250,777,716
"98",897,"https://sportfunder.com/lionsyouthsports/27758",0,"teams",0,"fail",106,10.229,9,0,0,14,4,11,3000,640,716
"99",158,"https://sportfunder.com/christownsend/3661",32,"teams",776,"fail",185,11.757,6,3,5,16,4,11,1500,109,716
"100",676,"https://sportfunder.com/youngindiasportsacademy/29881",0,"teams",0,"fail",156,11.699,5,0,3,10,1,11,25000,477,716
"101",176,"https://sportfunder.com/vincerezeng/27548",2,"teams",20,"fail",77,7.198,1,0,0,3,1,1,5000,123,716
"102",319,"https://sportfunder.com/rogueracingclub/28047",0,"teams",0,"fail",104,11.427,7,0,1,10,4,9,5000,223,716
"103",148,"https://sportfunder.com/joehall/28141",2,"teams",0,"fail",75,9.106,7,2,2,9,1,11,1350,103,716
"104",871,"https://sportfunder.com/fastandfemale/4418",116,"teams",5700,"fail",82,11.759,2,0,0,9,0,8,10000,621,716
"105",654,"https://sportfunder.com/ebc/31003",0,"teams",0,"fail",40,1.637,2,3,3,2,3,1,20000,462,716
"106",587,"https://sportfunder.com/ipelengmachwisa/28673",0,"teams",0,"fail",127,10.596,4,0,3,9,1,12,50000,408,716
"107",755,"https://sportfunder.com/immanuelchristianschoolgirlsbasketball/40240",28,"teams",3631,"fail",127,8.959,3,0,1,6,1,13,55000,533,716
"108",982,"https://sportfunder.com/meikevoigt/31085",7,"teams",430,"fail",89,6.45,2,1,1,7,2,6,1500,700,716
"109",13,"https://sportfunder.com/acadiauniversitycheerleading/2393",42,"teams",425,"fail",104,6.809,1,1,2,5,1,8,3000,9,716
"110",95,"https://sportfunder.com/matthewmackillop/2497",14,"teams",550,"fail",103,6.791,2,2,4,5,5,6,2000,63,716
"111",290,"https://sportfunder.com/takkhunnwang/21759",2,"teams",0,"fail",217,16.562,4,0,4,10,2,11,4967.5,201,716
"112",776,"https://sportfunder.com/teammetalize/25017",28,"teams",860,"fail",131,9.449,4,0,1,5,1,4,8200,547,716
"113",582,"https://sportfunder.com/evdokymovracing/31207",0,"teams",0,"fail",49,4.415,3,0,0,4,0,3,1500,406,716
"114",165,"https://sportfunder.com/georgiablaikie/40267",2,"teams",680.04,"fail",223,28.904,4,0,1,9,0,13,5667,115,716
"115",394,"https://sportfunder.com/localnashvillesoccerteam/31460",0,"teams",0,"fail",175,21.452,7,0,3,14,1,19,500,279,716
"116",707,"https://sportfunder.com/alexcolpitts/9122",0,"teams",0,"fail",283,22.407,9,5,16,15,12,19,750,501,716
"117",1034,"https://sportfunder.com/anatoly/25148",0,"teams",0,"fail",153,12.776,3,1,5,5,0,7,4300,737,716
"118",1086,"https://sportfunder.com/synchronlcanadagamesteam/9370",40,"teams",1496,"fail",84,2.72,3,0,1,6,0,7,4000,768,716
"119",736,"https://sportfunder.com/joebrown/24740",8,"teams",95,"fail",84,4.951,1,1,2,2,0,6,7500,519,716
"120",19,"https://sportfunder.com/paradiseracing/4434",0,"teams",0,"fail",205,17.007,7,1,2,11,2,16,8000,15,716
"121",896,"https://sportfunder.com/craignadeau/31109",0,"teams",0,"fail",88,2.861,2,2,3,2,0,6,1500,639,716
"122",65,"https://sportfunder.com/stevenpritchard/31217",1,"teams",0,"fail",60,5.53,4,0,0,8,0,3,5667,43,716
"123",564,"https://sportfunder.com/spartanparentboosterclub/26741",42,"teams",50,"fail",63,3.986,3,0,1,7,0,7,2500,395,716
"124",396,"https://sportfunder.com/paraeqrider/28107",1,"teams",0,"fail",504,65.332,15,7,17,33,7,17,22000,280,716
"125",965,"https://sportfunder.com/ashahpayson/8810",16,"teams",777,"fail",147,9.001,5,2,4,10,0,13,1250,686,716
"126",743,"https://sportfunder.com/michaelknupfer/29540",8,"teams",189.75,"fail",128,17.13,4,2,2,13,3,9,5000,524,716
"127",644,"https://sportfunder.com/bronner/29094",0,"teams",0,"fail",47,6.35,2,0,4,4,1,2,1200,455,716
"128",980,"https://sportfunder.com/nualaedmundson/30958",39,"teams",2564,"fail",100,8.763,1,0,0,3,0,3,2800,698,716
"129",715,"https://sportfunder.com/michaelarmstrong/28354",0,"teams",0,"fail",106,8.373,3,1,1,9,1,4,1133.4,507,716
"130",867,"https://sportfunder.com/hanscoetzee/29289",0,"teams",0,"fail",89,9.525,1,0,1,4,0,6,2000,619,716
"131",560,"https://sportfunder.com/kcscblitzsoftball/27629",20,"teams",1840,"fail",127,11.763,2,0,8,4,0,12,43296,392,716
"132",916,"https://sportfunder.com/saramihalik/27213",0,"teams",0,"fail",306,30.625,13,2,3,21,2,18,4000,652,716
"133",335,"https://sportfunder.com/irinasokolova/28278",0,"teams",0,"fail",216,14.179,4,1,1,17,0,24,1400,237,716
"134",520,"https://sportfunder.com/malacky/31098",0,"teams",0,"fail",123,10.596,4,0,3,9,1,12,2980.5,363,716
"135",588,"https://sportfunder.com/gemcitythrowbacks11u/26609",0,"teams",0,"fail",142,13.964,10,0,5,14,1,11,6000,409,716
"136",388,"https://sportfunder.com/pureperformance/24116",42,"teams",850,"fail",95,14.754,6,1,1,12,0,10,1500,275,716
"137",706,"https://sportfunder.com/alexcolpitts/3713",4,"teams",221,"fail",149,11.908,5,0,0,7,0,8,1300,500,716
"138",923,"https://sportfunder.com/josh/31355",9,"teams",259,"fail",254,21.533,5,1,2,18,2,15,300,657,716
"139",443,"https://sportfunder.com/uqamcheerleading/24614",66,"teams",11486,"fail",121,8.413,2,0,1,4,1,12,12000,305,716
"140",985,"https://sportfunder.com/howickpremiermenssoftballteam/27495",0,"teams",0,"fail",173,20.263,5,0,4,18,1,17,3000,703,716
"141",391,"https://sportfunder.com/saharidumainisinamo/29606",9,"teams",519.5,"fail",106,16.269,9,1,1,16,4,9,1000,276,716
"142",14,"https://sportfunder.com/acadiauniversitycheerleading/8246",34,"teams",387,"fail",81,7.918,2,1,1,3,0,8,7500,10,716
"143",882,"https://sportfunder.com/camagueybaseballclub/27915",2,"teams",150,"fail",134,7.95,3,0,4,6,1,9,2400,628,716
"144",340,"https://sportfunder.com/beachteammkcom/30658",9,"teams",496.75,"fail",195,21.969,20,0,3,21,1,20,4967.5,241,716
"145",997,"https://sportfunder.com/oliviahennon/30864",9,"teams",535,"fail",103,19.336,8,0,0,15,4,7,6500,714,716
"146",1081,"https://sportfunder.com/augustandmegansibthorpe/8194",44,"teams",945,"fail",89,6.074,1,0,0,6,0,3,5000,766,716
"147",621,"https://sportfunder.com/jagjitsengupta/28266",0,"teams",0,"fail",129,8.689,10,0,6,14,0,15,2980.5,435,716
"148",75,"https://sportfunder.com/lehighvalleyhunters/29919",0,"teams",0,"fail",59,6.072,3,1,1,4,1,3,15000,50,716
"149",967,"https://sportfunder.com/martinpasternak/30911",3,"teams",100,"fail",78,4.194,2,0,0,5,0,4,7500,688,716
"150",282,"https://sportfunder.com/hunterpowershowcase/28192",1,"teams",10,"fail",245,30.862,9,3,9,23,5,20,2000,193,716
"151",346,"https://sportfunder.com/kumakechjames/26738",16,"teams",157,"fail",128,10.596,5,0,3,10,1,13,20000,245,716
"152",684,"https://sportfunder.com/aemstylidas/28008",4,"teams",0,"fail",112,8.979,5,0,3,6,1,7,2980.5,483,716
"153",578,"https://sportfunder.com/royalfootballclublagos/31322",0,"teams",0,"fail",53,8.947,3,0,3,7,2,2,28000,404,716
"154",807,"https://sportfunder.com/silkrider/31163",21,"teams",536.49,"fail",112,11.43,2,0,2,6,2,4,2483.75,572,716
"155",709,"https://sportfunder.com/alexcolpitts/24115",1,"teams",10,"fail",220,19.987,8,4,9,16,7,12,3000,503,716
"156",833,"https://sportfunder.com/jackcotton/28198",4,"teams",90,"fail",155,17.922,11,0,0,22,0,14,10000,590,716
"157",27,"https://sportfunder.com/anthonypietersz/29528",5,"teams",540,"fail",137,20.493,5,0,2,14,4,7,4500,20,716
"158",530,"https://sportfunder.com/dakotadey/31541",13,"teams",622,"fail",76,4.924,6,0,1,8,1,3,1500,368,716
"159",1073,"https://sportfunder.com/nationaldevelopmentcentrethunderbay/7758",182,"teams",19645,"fail",147,11.373,4,0,3,9,1,9,30000,760,716
"160",180,"https://sportfunder.com/nicholeshaferherring/27726",0,"teams",0,"fail",73,9.577,3,0,3,7,2,3,1000,125,716
"161",1069,"https://sportfunder.com/juliansmith/8046",1,"teams",500,"fail",146,11.373,4,0,3,9,1,9,750,758,716
"162",521,"https://sportfunder.com/susma/27806",0,"teams",0,"fail",60,4.258,1,0,2,2,0,4,3000,364,716
"163",244,"https://sportfunder.com/aamir/28313",0,"teams",0,"fail",88,11.214,3,0,1,9,2,4,1000,166,716
"164",1121,"https://sportfunder.com/chanakyaks/31195",0,"teams",0,"fail",59,4.415,3,0,0,5,0,3,500,791,716
"165",139,"https://sportfunder.com/usfwomensclubsoccer/29895",30,"teams",1138.75,"fail",45,5.226,2,1,1,3,0,6,3000,95,716
"166",629,"https://sportfunder.com/dynamicathletemanagement/25259",0,"teams",100,"fail",114,20.344,3,1,2,7,0,9,2000,441,716
"167",275,"https://sportfunder.com/matteopatacca/30852",0,"teams",0,"fail",50,4.415,3,0,0,4,0,3,29805,188,716
"168",656,"https://sportfunder.com/popwarnercentraltrojansvarsity/30653",4,"teams",40,"fail",131,25.301,4,0,1,8,1,11,2000,464,716
"169",134,"https://sportfunder.com/newplymouthtaekwondohapkidoclub/28210",0,"teams",0,"fail",119,7.379,5,2,2,6,1,10,54000,91,716
"170",33,"https://sportfunder.com/keyarawardley/8762",13,"teams",405,"fail",125,8.081,4,1,3,9,0,11,1250,24,716
"171",57,"https://sportfunder.com/christinewonggolf/29414",0,"teams",0,"fail",98,13.211,5,0,3,7,2,4,5000,39,716
"172",483,"https://sportfunder.com/tfsyouthdevelopment/31219",0,"teams",0,"fail",151,11.407,12,0,5,21,8,9,3000,331,716
"173",322,"https://sportfunder.com/apexskillscamp/31894",2,"teams",250,"fail",142,23.403,4,0,1,12,0,12,12000,226,716
"174",969,"https://sportfunder.com/thekidkeeper/29443",45,"teams",1999.5,"fail",159,10.859,6,1,5,10,2,4,4500,689,716
"175",1004,"https://sportfunder.com/envigadofootballclub/24910",0,"teams",0,"fail",208,13.528,9,2,6,22,6,24,6000,718,716
"176",172,"https://sportfunder.com/taylorhendricks/27742",0,"teams",0,"fail",86,9.782,7,0,1,9,2,10,1000,120,716
"177",470,"https://sportfunder.com/michaelshpigelman/27472",0,"teams",0,"fail",90,11.214,3,0,1,9,2,4,1000,320,716
"178",780,"https://sportfunder.com/teamfinish/29136",4,"teams",100,"fail",148,27.754,9,1,2,13,1,14,50000,551,716
"179",213,"https://sportfunder.com/___/28311",0,"teams",0,"fail",111,19.301,5,1,3,12,0,15,1000,148,716
"180",749,"https://sportfunder.com/spectrumathletics/40432",20,"teams",1630,"fail",45,8.949,3,0,1,6,0,7,5000,529,716
"181",959,"https://sportfunder.com/cikititeam/23714",18,"teams",0,"fail",204,24.013,5,0,4,14,0,12,794.8,680,716
"182",710,"https://sportfunder.com/newworldbball/27861",0,"teams",1318,"fail",90,13.425,3,0,1,7,2,6,3500,504,716
"183",570,"https://sportfunder.com/selasvegasriot/29106",0,"teams",0,"fail",135,8.059,3,0,7,7,4,9,3000,398,716
"184",645,"https://sportfunder.com/hungarianscamps/24204",12,"teams",19.87,"fail",124,20.495,8,0,0,9,0,15,2980.5,456,716
"185",31,"https://sportfunder.com/wallaseywolves/29346",0,"teams",0,"fail",80,7.171,1,0,0,2,0,5,1133.4,23,716
"186",184,"https://sportfunder.com/marioudvardi/27480",0,"teams",0,"fail",83,7.668,5,0,2,7,2,5,20000,129,716
"187",112,"https://sportfunder.com/reaganashley/27561",22,"teams",405,"fail",238,13.374,12,0,1,17,0,17,1200,78,716
"188",162,"https://sportfunder.com/hannakarlsson/29526",56,"teams",854.41,"fail",213,16.154,8,2,6,15,4,8,7948,113,716
"189",118,"https://sportfunder.com/hopeduncan/22629",0,"teams",0,"fail",26,1.018,3,1,2,3,1,3,15500,81,716
"190",316,"https://sportfunder.com/regals_lax/31181",3,"teams",125,"fail",109,9.525,6,0,1,9,0,10,1000,220,716
"191",1107,"https://sportfunder.com/fitcitie/23054",0,"teams",0,"fail",197,5.668,7,2,3,12,4,14,10000,778,716
"192",325,"https://sportfunder.com/tbteam/31197",4,"teams",0,"fail",137,12.925,4,0,3,12,1,15,6000,229,716
"193",259,"https://sportfunder.com/charliegran/27896",0,"teams",0,"fail",70,10.426,2,0,2,5,1,5,3400.2,178,716
"194",995,"https://sportfunder.com/seaverking/31255",4,"teams",2165,"fail",102,5.508,2,2,3,2,1,8,2500,712,716
"195",421,"https://sportfunder.com/mcgillfigureskating/13",34,"teams",630,"fail",135,1.82,2,3,5,7,0,14,1000,296,716
"196",355,"https://sportfunder.com/mariahbradley_/39460",1,"teams",150,"fail",48,4.415,3,0,0,7,0,3,150,250,716
"197",147,"https://sportfunder.com/balmaintigersafl/27549",0,"teams",0,"fail",139,7.366,2,0,2,15,1,7,20000,102,716
"198",392,"https://sportfunder.com/tanyabottomley/29458",0,"teams",0,"fail",203,33.887,4,2,5,11,1,5,4000,277,716
"199",486,"https://sportfunder.com/teamgeorgia12u-cooperstown2021/31477",0,"teams",0,"fail",105,8.059,3,0,0,5,0,13,10000,333,716
"200",561,"https://sportfunder.com/serenityhanson/27725",0,"teams",0,"fail",78,11.214,3,0,3,9,2,4,1000,393,716
"201",944,"https://sportfunder.com/whitedevils/31362",0,"teams",0,"fail",53,2.329,1,1,7,3,1,3,1000,670,716
"202",514,"https://sportfunder.com/copaforce1/27810",10,"teams",165,"fail",125,8.059,4,0,2,8,1,9,3000,357,716
"203",1101,"https://sportfunder.com/leogoldberg/5070",5,"teams",31,"fail",47,5.409,3,0,0,4,0,5,0,775,716
"204",932,"https://sportfunder.com/vincentbonacci/31312",0,"teams",0,"fail",51,7.468,2,0,1,6,2,1,5000,664,716
"205",515,"https://sportfunder.com/tpwomens/24155",14,"teams",475,"fail",210,26.035,7,0,4,11,1,13,5000,358,716
"206",571,"https://sportfunder.com/fullcourtfiesta/31895",12,"teams",210,"fail",76,6.912,4,0,0,6,2,4,15000,399,716
"207",337,"https://sportfunder.com/tomasi/30878",0,"teams",0,"fail",47,4.415,3,0,0,4,0,4,12000,238,716
"208",643,"https://sportfunder.com/ianrodriguez_eliogas_baseballfactory/28082",0,"teams",0,"fail",179,20.993,5,0,6,13,0,18,6000,454,716
"209",293,"https://sportfunder.com/syaquarius/29894",0,"teams",0,"fail",127,10.596,4,0,3,9,1,12,20000,202,716
"210",648,"https://sportfunder.com/rijekatorpedoes/31051",0,"teams",0,"fail",121,14.575,1,0,1,6,0,7,2980.5,458,716
"211",151,"https://sportfunder.com/thereseblennert/29535",5,"teams",129.155,"fail",126,9.282,5,0,1,11,2,11,993500,105,716
"212",12,"https://sportfunder.com/usadeafwrestlingorganization/25617",0,"teams",0,"fail",86,2.76,3,0,0,6,0,4,20000,8,716
"213",806,"https://sportfunder.com/czechcricket/29883",2,"teams",4.9675,"fail",111,3.002,1,0,3,5,1,9,2980.5,571,716
"214",485,"https://sportfunder.com/letsplayhockey-mk/29374",39,"teams",3779.889,"fail",452,32.774,13,1,8,33,3,22,56670,332,716
"215",811,"https://sportfunder.com/lowkeyhoops/30972",0,"teams",0,"fail",57,7.872,6,0,1,9,0,4,340.02,574,716
"216",324,"https://sportfunder.com/angelahill/29446",0,"teams",0,"fail",166,20.926,11,0,0,22,0,15,5000,228,716
"217",741,"https://sportfunder.com/rebeccarichards/31369",0,"teams",0,"fail",57,6.235,2,0,0,2,0,1,1133.4,523,716
"218",658,"https://sportfunder.com/highdesertpumas/31356",0,"teams",0,"fail",131,22.978,3,5,8,8,10,9,25000,465,716
"219",777,"https://sportfunder.com/aymeric/29601",2,"teams",150,"fail",94,10.388,6,0,2,10,2,5,1500,548,716
"220",895,"https://sportfunder.com/ippondojo/18377",6,"teams",110,"fail",100,10.153,1,0,0,5,0,8,2000,638,716
"221",860,"https://sportfunder.com/kierancourt/28020",0,"teams",0,"fail",187,14.854,6,0,1,21,1,12,3000,612,716
"222",801,"https://sportfunder.com/d-towneagles/31467",2,"teams",10,"fail",205,20.106,13,0,1,22,8,20,5500,568,716
"223",554,"https://sportfunder.com/rawofootballacademyrfa/28716",0,"teams",0,"fail",180,15.335,6,0,0,24,2,11,1000,388,716
"224",592,"https://sportfunder.com/medineriverrace/28108",0,"teams",0,"fail",91,11.214,3,0,1,9,2,4,14902.5,411,716
"225",1078,"https://sportfunder.com/nationaldevelopmentcentrethunderbay/18549",102,"teams",1715,"fail",167,15.845,6,2,4,9,3,10,7500,763,716
"226",48,"https://sportfunder.com/fdx/29162",0,"teams",0,"fail",113,11.471,3,0,0,3,0,4,2000,34,716
"227",731,"https://sportfunder.com/liamteetzel/4842",5,"teams",91,"fail",201,20.097,13,0,0,23,1,11,1500,518,716
"228",796,"https://sportfunder.com/rileyscrogham/28110",53,"teams",2275,"fail",284,16.051,12,1,4,24,6,14,3000,564,716
"229",404,"https://sportfunder.com/manzerbasketballclub/24643",62,"teams",1705,"fail",143,5.925,5,0,4,10,0,12,5000,287,716
"230",792,"https://sportfunder.com/iowachill/30937",0,"teams",0,"fail",82,9.827,5,0,4,9,1,14,3000,561,716
"231",866,"https://sportfunder.com/ambie/28370",0,"teams",0,"fail",89,6.316,3,2,4,6,6,1,12467.4,618,716
"232",847,"https://sportfunder.com/kenbiddle/29592",0,"teams",0,"fail",135,17.23,7,1,5,16,4,7,500,601,716
"233",276,"https://sportfunder.com/sisonkeelitefootballproject/29629",0,"teams",0,"fail",100,8.959,4,0,1,7,1,10,1500,189,716
"234",664,"https://sportfunder.com/jorgemartinez/29353",2,"teams",5,"fail",89,11.214,3,0,1,9,2,4,1000,470,716
"235",728,"https://sportfunder.com/elitespikersvolleyballclub/31331",0,"teams",0,"fail",186,12.148,3,0,3,10,0,14,3000,516,716
"236",308,"https://sportfunder.com/south-sideshooters/28375",0,"teams",0,"fail",180,19.373,7,1,4,13,9,14,1500,215,716
"237",517,"https://sportfunder.com/deftacribeirobjjphilippines/16921",0,"teams",0,"fail",210,41.61,8,1,8,18,7,18,10000,360,716
"238",317,"https://sportfunder.com/haileycarey/30872",9,"teams",580,"fail",48,4.415,3,0,0,4,0,3,1950,221,716
"239",908,"https://sportfunder.com/valherjes/30840",0,"teams",0,"fail",74,9.865,4,0,2,7,3,6,9500,647,716
"240",918,"https://sportfunder.com/alexandrugheorghe/28349",0,"teams",0,"fail",79,7.92,3,0,1,10,2,5,5961,653,716
"241",862,"https://sportfunder.com/charlesvandervindt/29929",0,"teams",0,"fail",139,16.289,1,0,2,8,2,7,30000,614,716
"242",380,"https://sportfunder.com/dan1282/28268",0,"teams",0,"fail",148,9.684,7,1,5,13,1,10,3000,268,716
"243",660,"https://sportfunder.com/tremenheeresportsacademy/30825",0,"teams",0,"fail",130,10.596,5,0,3,9,1,10,2000,467,716
"244",876,"https://sportfunder.com/sambocanada/818",4,"teams",10,"fail",107,6.054,4,0,1,7,1,11,3000,624,716
"245",73,"https://sportfunder.com/dangerzonewrestling/23696",0,"teams",0,"fail",89,11.214,3,0,1,9,2,4,100,48,716
"246",685,"https://sportfunder.com/iraklisvolley/30951",0,"teams",0,"fail",68,5.949,3,1,0,4,0,7,4967.5,484,716
"247",615,"https://sportfunder.com/nkosinathihlongwane/29622",0,"teams",0,"fail",52,3.922,5,0,2,9,1,4,3000,431,716
"248",402,"https://sportfunder.com/sailorshockeyteam/26742",34,"teams",10,"fail",363,37.178,18,2,9,44,9,32,10000,285,716
"249",502,"https://sportfunder.com/shinjuaikidodojo/29449",0,"teams",0,"fail",248,18.008,7,5,9,27,10,12,1000,347,716
"250",374,"https://sportfunder.com/amberkennedy/27712",0,"teams",0,"fail",115,7.171,7,1,2,8,3,9,1000,263,716
"251",249,"https://sportfunder.com/pgjudoclub/5122",16,"teams",231,"fail",70,3.313,1,0,0,4,0,1,5600,171,716
"252",205,"https://sportfunder.com/scoutsoccer/29410",2,"teams",0,"fail",60,5.633,4,0,1,6,0,4,2981.4935,143,716
"253",472,"https://sportfunder.com/hellomanaaa/28182",0,"teams",0,"fail",90,11.826,3,0,1,9,2,4,1000,322,716
"254",89,"https://sportfunder.com/tychyfalcons/28674",0,"teams",0,"fail",341,36.686,30,2,14,49,12,38,2000,59,716
"255",100,"https://sportfunder.com/southsidemuaythaiacademy/21710",8,"teams",585,"fail",321,32.008,15,2,6,28,5,31,5000,68,716
"256",646,"https://sportfunder.com/tanjabester/28285",0,"teams",0,"fail",117,7.313,3,0,7,7,0,12,4000,457,716
"257",1010,"https://sportfunder.com/femaleathletesbeyond/40327",34,"teams",1700,"fail",220,23.052,6,0,3,10,2,4,2500,721,716
"258",929,"https://sportfunder.com/gila/28032",0,"teams",0,"fail",89,11.214,3,0,1,9,2,4,5000,662,716
"259",323,"https://sportfunder.com/alexpoinar/21501",44,"teams",800,"fail",267,16.287,22,4,3,27,1,21,800,227,716
"260",910,"https://sportfunder.com/balazszsamboki/28112",68,"teams",496.75,"fail",99,17.848,5,0,3,10,1,7,1987,648,716
