"","X","CampaignURL","numSupporters","TeamOrAthlete","AmountAdjusted","Success","Wordcount","NarcissismFactor","joy","sadness","negative","positive","fear","trust","FundingGoalAdjusted","id","num_rows"
"524",956,"https://sportfunder.com/libertysoftball/31906",26,"teams",681.5,"fail",113,28.871,4,0,2,6,0,8,5000,678,716
"525",955,"https://sportfunder.com/taylorharris/29290",11,"teams",390,"fail",121,17.606,3,0,0,9,2,5,2500,677,716
"526",1044,"https://sportfunder.com/danilonesic93/29872",11,"teams",292.089,"fail",48,4.415,3,0,0,4,0,3,993.5,743,716
"527",499,"https://sportfunder.com/nevelledurawo/28297",0,"teams",0,"fail",95,10.543,4,0,5,10,1,10,1000,344,716
"528",820,"https://sportfunder.com/madisonolson/31576",22,"teams",2100,"fail",200,15.016,3,0,1,14,0,7,15000,582,716
"529",598,"https://sportfunder.com/paigeflanders/28670",0,"teams",0,"fail",78,8.965,3,0,4,6,2,4,1000,416,716
"530",408,"https://sportfunder.com/khanyisanifootballclub/28134",0,"teams",0,"fail",66,7.294,5,1,1,7,0,4,1000,290,716
"531",90,"https://sportfunder.com/warao/27558",40,"teams",1249,"fail",165,11.679,4,0,5,11,0,10,3500,60,716
"532",146,"https://sportfunder.com/sydneyunihandballclub/29573",14,"teams",3264.5,"fail",160,22.229,5,0,4,13,0,12,9999,101,716
"533",611,"https://sportfunder.com/lucassithole/27914",1,"teams",100,"fail",123,18.879,4,0,4,10,3,5,5000,427,716
"534",608,"https://sportfunder.com/elizabethsaliba/29928",0,"teams",0,"fail",77,5.027,5,1,0,8,0,5,1000,424,716
"535",81,"https://sportfunder.com/go-2-pro/28136",4,"teams",1.1334,"fail",246,29.116,9,5,14,19,4,10,6233.7,54,716
"536",915,"https://sportfunder.com/kanyonraft/22024",0,"teams",0,"fail",54,4.234,1,0,0,1,1,5,19870,651,716
"537",746,"https://sportfunder.com/spectrumathletics/31891",144,"teams",2917,"fail",51,8.029,3,2,3,6,2,6,3000,527,716
"538",251,"https://sportfunder.com/tsg/22993",0,"teams",0,"fail",125,12.07,4,1,3,21,2,15,3000,173,716
"539",584,"https://sportfunder.com/febil/29867",0,"teams",0,"fail",59,2.269,3,1,1,5,1,3,3000,407,716
"540",966,"https://sportfunder.com/sannymalik/29570",2,"teams",0,"fail",89,11.214,3,0,1,9,2,4,50000,687,716
"541",769,"https://sportfunder.com/alexcevallos/31816",20,"teams",20,"fail",47,4.415,3,0,0,4,0,3,120,543,716
"542",964,"https://sportfunder.com/rajdeepsingh/29564",0,"teams",0,"fail",95,11.214,6,0,1,12,2,8,2500,685,716
"543",153,"https://sportfunder.com/georgestamour/5142",1,"teams",31,"fail",121,5.224,11,0,0,13,1,10,1000,106,716
"544",190,"https://sportfunder.com/lgdm/25762",0,"teams",0,"fail",198,17.287,11,0,3,18,3,12,14000,134,716
"545",879,"https://sportfunder.com/lauraschulz/28206",0,"teams",0,"fail",116,6.072,8,4,5,9,6,7,1000,627,716
"546",1085,"https://sportfunder.com/mackenziestabler/31138",21,"teams",485,"fail",260,36.1,9,1,1,17,1,13,5000,767,716
"547",297,"https://sportfunder.com/moheabeid/31545",3,"teams",101.337,"fail",97,10.135,6,0,4,10,0,6,14902.5,206,716
