"","CampaignURL","numSupporters","TeamOrAthlete","AmountAdjusted","Success","Wordcount","NarcissismFactor","joy","sadness","negative","positive","fear","trust"
"121","https://sportfunder.com/prince/31511",0,"teams",0,"fail",1,0,NA,NA,NA,NA,NA,NA
"122","https://sportfunder.com/isabellesimon/16761",0,"teams",0,"fail",310,0.628,NA,NA,NA,NA,NA,NA
"123","https://sportfunder.com/isabelabalatka/30859",8,"teams",415,"fail",331,33.624,11,1,6,25,4,26
"124","https://sportfunder.com/connorshackelofrd/29916",0,"teams",0,"fail",68,6.255,3,0,1,4,0,3
"125","https://sportfunder.com/levetasmith/30982",0,"teams",0,"fail",132,9.859,3,0,2,7,0,12
"126","https://sportfunder.com/carolinecomperatore_/40124",NA,"teams",70,"success",50,4.415,6,0,0,10,0,6
"127","https://sportfunder.com/carolinecomperatore_/40124",NA,"teams",70,"success",50,4.415,6,0,0,10,0,6
"128","https://sportfunder.com/teamttc/22231",0,"teams",0,"fail",366,18.519,10,1,18,22,8,29
"129","https://sportfunder.com/taylorsvillescoutfootballteam/28149",8,"teams",45,"fail",143,19.421,11,0,4,16,1,20
"130","https://sportfunder.com/olympicfckenya/31373",0,"teams",0,"fail",132,10.596,4,0,3,9,1,12
"131","https://sportfunder.com/samsmith/22610",32,"teams",215.346,"fail",298,23.814,7,3,14,17,2,13
"132","https://sportfunder.com/tar/40575",NA,"teams",0,"fail",1,0,NA,NA,NA,NA,NA,NA
"133","https://sportfunder.com/sharellemarching/27889",0,"athletes",0,"fail",45,5.816,2,0,1,2,0,4
"134","https://sportfunder.com/newplymouthtaekwondohapkidoclub/28210",0,"teams",0,"fail",119,7.379,5,2,2,6,1,10
"135","https://sportfunder.com/subhan/170",2,"teams",10,"fail",129,8.556,6,0,1,6,1,6
"136","https://sportfunder.com/subhan/23883",0,"teams",0,"fail",95,14.607,7,0,0,9,1,7
"137","https://sportfunder.com/usfwomensclubsoccer/28179",100,"teams",1440,"success",94,15.082,5,1,2,14,0,9
"138","https://sportfunder.com/usfwomensclubsoccer/31077",10,"teams",550,"fail",12,2.557,1,0,0,1,NA,NA
"139","https://sportfunder.com/usfwomensclubsoccer/29895",30,"teams",1138.75,"fail",45,5.226,2,1,1,3,0,6
"140","https://sportfunder.com/sickleshighschoolfootball/25934",20,"teams",1300,"fail",172,27.237,6,0,3,12,2,16
"141","https://sportfunder.com/lorelaihunt/31907",5,"teams",115,"fail",49,4.415,3,0,0,4,0,3
"142","https://sportfunder.com/silvaselect/40453",18,"teams",5880,"fail",132,12.233,6,0,4,10,3,10
"143","https://sportfunder.com/kalmantamaskrisztian/29314",0,"teams",0,"fail",27,0,NA,NA,NA,NA,NA,NA
"144","https://sportfunder.com/fernandosaldana/40531",1,"teams",200,"fail",168,22.678,8,0,4,17,0,16
"145","https://sportfunder.com/sydneyunihandballclub/40516",12,"teams",4204,"fail",168,22.678,8,0,4,17,0,16
"146","https://sportfunder.com/sydneyunihandballclub/29573",14,"teams",3264.5,"fail",160,22.229,5,0,4,13,0,12
"147","https://sportfunder.com/balmaintigersafl/27549",0,"teams",0,"fail",139,7.366,2,0,2,15,1,7
"148","https://sportfunder.com/joehall/28141",2,"teams",0,"fail",75,9.106,7,2,2,9,1,11
"149","https://sportfunder.com/teamswedencoed/23232",14,"teams",105,"fail",55,4.011,4,0,0,4,1,5
"150","https://sportfunder.com/svenskdovfotboll/24900",70,"teams",347.725,"fail",266,0.612,NA,NA,NA,NA,NA,NA
"151","https://sportfunder.com/thereseblennert/29535",5,"teams",129.155,"fail",126,9.282,5,0,1,11,2,11
"152","https://sportfunder.com/fast/30932",6,"teams",95,"fail",103,0,NA,NA,NA,NA,NA,NA
"153","https://sportfunder.com/georgestamour/5142",1,"teams",31,"fail",121,5.224,11,0,0,13,1,10
"154","https://sportfunder.com/bamasterssoccerassociationofvancouver/28051",0,"teams",0,"fail",51,10.517,5,0,1,8,0,5
"155","https://sportfunder.com/ihtkesw/30949",0,"teams",0,"fail",133,10.124,4,0,2,7,2,13
"156","https://sportfunder.com/elitesoftball/28312",0,"teams",0,"fail",1,0,NA,NA,NA,NA,NA,NA
"157","https://sportfunder.com/samuvolotinen/30881",13,"teams",139.09,"fail",5,0,NA,NA,0,1,0,2
"158","https://sportfunder.com/christownsend/3661",32,"teams",776,"fail",185,11.757,6,3,5,16,4,11
"159","https://sportfunder.com/alessandrafattore/28113",0,"athletes",0,"fail",130,11.048,10,1,1,14,1,15
"160","https://sportfunder.com/trihighbasketball/29444",20,"teams",270,"fail",113,22.033,3,0,0,5,0,9
"161","https://sportfunder.com/nordiccapitaljudochallenge/21124",94,"teams",938.8575,"fail",62,0.9,3,0,0,5,1,3
"162","https://sportfunder.com/hannakarlsson/29526",56,"teams",854.41,"fail",213,16.154,8,2,6,15,4,8
"163","https://sportfunder.com/steinbachsynchro/1233",12,"teams",325,"fail",75,4.768,1,1,0,3,0,2
"164","https://sportfunder.com/sosnaturezadobrasil/23897",0,"teams",0,"fail",67,0,NA,NA,NA,NA,NA,NA
"165","https://sportfunder.com/georgiablaikie/40267",2,"teams",680.04,"fail",223,28.904,4,0,1,9,0,13
"166","https://sportfunder.com/intensity/14389",2,"teams",10,"fail",111,17.996,1,0,0,4,0,5
"167","https://sportfunder.com/alexandrakanioros/29849",3,"teams",60,"fail",12,0,1,1,1,1,0,1
"168","https://sportfunder.com/neptunesynchro/17729",52,"teams",16364,"success",265,26.13,7,2,4,19,1,14
"169","https://sportfunder.com/benton/29869",0,"teams",0,"fail",48,4.415,3,0,0,4,0,3
"170","https://sportfunder.com/andrewfritz/40442",1,"teams",0,"fail",1,0,NA,NA,NA,NA,NA,NA
