,CampaignName,CampaignUrl,CampaignPicUrl,ProfilePicUrl,SportName,SportUrl,ShortDescription,Location,DivBox1Val,DivBox1Name,DivBox2Val,DivBox2Name,DivBox3Val,DivBox3Name,DivBox4Val,DivBox4Name
21,KEIRA SNYMAN,https://sportfunder.com/https://sportfunder.com/keirasnyman/28254,"background-image: url(""https://files.makeachamp.com/fe715cfc-fb24-4d5e-acca-013b76d419dd/-/crop/1819x1361/122,114/-/preview/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/956bd923-d1e8-4bdc-abd7-1c720148d06d/-/crop/1436x1435/55,55/-/preview/-/resize/400/"");",Rugby,https://sportfunder.com/https://sportfunder.com/teams/rugby,Join Keira's journey to the St Devote Tournament...,"Denver, Colorado, United States","$4,385
Raised",Raised,"175%
Funded",Funded,,,"46
Supporters",Supporters
22,AUDRINA LUCHINO LORENTZ,https://sportfunder.com/https://sportfunder.com/audrinaluchinolorentz_/39458,"background-image: url(""https://files.makeachamp.com/64164415-024f-410a-9e8a-1d6f54376025/-/resize/400/"");","background-image: url(""https://files.makeachamp.com/02784e09-557e-4a30-a5f1-ffe06cd7bde4/-/crop/622x622/233,232/-/preview/-/resize/400/"");",Gymnastics,https://sportfunder.com/https://sportfunder.com/teams/gymnastics,Be part of my journey to the podium!,"North Wales, Pennsylvania, United States","$425
Raised",Raised,"170%
Funded",Funded,,,"5
Supporters",Supporters
23,BBCARANTIA,https://sportfunder.com/https://sportfunder.com/bbcarantia/31110,"background-image: url(""https://files.makeachamp.com/56406550-3876-49b0-bff2-2c38a99177f9/-/crop/2400x1350/0,186/-/preview/-/resize/1200/"");","background-image: url(""https://files.makeachamp.com/aae8aa82-a24b-42e3-a5bb-0998dd6b612e/-/resize/400/"");",Basketball,https://sportfunder.com/https://sportfunder.com/teams/basketball,Support your local Duerfveräin!,"Fels, Distrikt Luxemburg, Luxemburg","€9,301
Raised",Raised,"155%
Funded",Funded,,,"242
Supporters",Supporters
24,TEAM MILES WKA,https://sportfunder.com/https://sportfunder.com/teammileswka/2609,"background-image: url(""https://www.filepicker.io/api/file/QpAs1LYSYyqeS4Yj2yjW/convert?h=600&quality=100"");","background-image: url(""https://files.makeachamp.com/5f2a58d2-b7c0-4f84-8aa1-d5acfa749160/-/crop/6000x5985/0,229/-/preview/-/resize/400/"");",Muay Thai,https://sportfunder.com/https://sportfunder.com/teams/muay-thai,Let's get GOLD at the 2014 IFMA World Muay Thai...,"Calgary, Alberta, Canada","$3,063
Raised",Raised,"153%
Funded",Funded,,,"68
Supporters",Supporters
25,USF WOMEN'S CLUB SOCCER,https://sportfunder.com/https://sportfunder.com/usfwomensclubsoccer/28179,"background-image: url(""https://files.makeachamp.com/66569748-49c7-4840-a21f-e33b66b88336/-/crop/1136x638/0,1/-/preview/"");","background-image: url(""https://files.makeachamp.com/cacc50ad-2619-4d1a-a31c-b42d5f8caafd/-/resize/400/"");",Soccer,https://sportfunder.com/https://sportfunder.com/teams/soccer,"Help support our season, and seasons to follow!...","Tampa, Florida, United States","$1,440
Raised",Raised,"144%
Funded",Funded,,,"100
Supporters",Supporters
26,SAM GREER,https://sportfunder.com/https://sportfunder.com/samgreer/7890,"background-image: url(""//d1idjbb9jmy0ec.cloudfront.net/images/SamGreers.jpg"");","background-image: url(""https://www.filepicker.io/api/file/VfCCtqcvR3KD1O1bFSv6/convert?w=400"");",Cross Country Skiing,https://sportfunder.com/https://sportfunder.com/teams/cross-country-skiing,"TeamUp ""KICK OFF"" Campaign",,"$1,000
Raised",Raised,"133%
Funded",Funded,,,"1
Supporters",Supporters
27,MARIKA KAY,https://sportfunder.com/https://sportfunder.com/marikakay/8242,"background-image: url(""https://www.filepicker.io/api/file/7FrESJlSfSPTQjbnGdv4/convert?w=400"");","background-image: url(""https://www.filepicker.io/api/file/Nyh7XeeFTKXDnUJMneCX/convert?w=400"");",Rowing,https://sportfunder.com/https://sportfunder.com/teams/rowing,Rowing for Gold at World University Championships,"Ottawa, Ontario, Canada","$5,225
Raised",Raised,"131%
Funded",Funded,,,"79
Supporters",Supporters
28,KHLOE DEFIESTA,https://sportfunder.com/https://sportfunder.com/khloedefiesta/40391,"background-image: url(""https://files.makeachamp.com/c9fb7e87-db72-42dd-8166-816060489f2c/-/crop/2570x1992/0,0/-/preview/-/resize/1200/"");","background-image: url(""https://files.makeachamp.com/20035f5f-631d-478d-a728-b08d12175565/-/resize/400/"");",Swimming,https://sportfunder.com/https://sportfunder.com/teams/swimming,Be part of my journey to UCLA!,"Hillsboro, Kansas, United States","$3,206.05
Raised",Raised,"128%
Funded",Funded,,,"46
Supporters",Supporters
29,SPECTRUM HIGH SCHOOL,https://sportfunder.com/https://sportfunder.com/spectrumathletics/40325,"background-image: url(""https://files.makeachamp.com/31d019d4-09ea-4f1b-a0dc-e6eb6a7aacb1/-/crop/833x626/0,7/-/preview/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/c191cbee-3ed8-4552-a4c6-f118022e0533/-/crop/458x389/12,20/-/preview/-/resize/400/"");",Football,https://sportfunder.com/https://sportfunder.com/teams/football,THE AMAZING RACE - Track & Field Fundraiser,"Elk River, Minnesota, United States","$3,770
Raised",Raised,"126%
Funded",Funded,,,"156
Supporters",Supporters
30,ADAM THOMSON,https://sportfunder.com/https://sportfunder.com/adamthomson/4650,"background-image: url(""//files.makeachamp.com/ac816602-8580-4a8c-8934-4f6445cb8cee/-/crop/554x924/370,510/-/preview/-/resize/400/"");","background-image: url(""http://makeachamp.com/images/logo-national-judo.jpg"");",Judo,https://sportfunder.com/https://sportfunder.com/teams/judo,Going for Gold at Canadian Judo Nationals,"Calgary, Alberta, Canada","$341
Raised",Raised,"124%
Funded",Funded,,,"13
Supporters",Supporters
