,CampaignName,CampaignUrl,CampaignPicUrl,ProfilePicUrl,SportName,SportUrl,ShortDescription,Location,DivBox1Val,DivBox1Name,DivBox2Val,DivBox2Name,DivBox3Val,DivBox3Name,DivBox4Val,DivBox4Name
328,UQAM CITADINS,https://sportfunder.com/https://sportfunder.com/uqamcheerleading/24614,"background-image: url(""https://files.makeachamp.com/f39c0a8b-807e-4bd8-b2e3-008d9f2b53ff/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/8bfc524e-209b-47c9-ba4b-f823209b9c9a/"");",Cheerleading,https://sportfunder.com/https://sportfunder.com/teams/cheerleading,HELP US MAKE THE PODIUM AT THE BIGGEST...,"Montreal, Quebec, Canada","$11,486
Raised",Raised,"96%
Funded",Funded,,,"66
Supporters",Supporters
329,TEAM VIC RUGBY,https://sportfunder.com/https://sportfunder.com/teamvicrugby/27490,"background-image: url(""https://files.makeachamp.com/05bbd952-9b1f-4d96-88db-8c6da042676c/-/crop/407x305/30,0/-/preview/"");","background-image: url(""https://files.makeachamp.com/1e958a74-e4cb-4da2-8852-29b95346c12f/-/crop/659x660/224,0/-/preview/-/resize/400/"");",Rugby,https://sportfunder.com/https://sportfunder.com/teams/rugby,Be part of our journey to the podium!,"Victoria, Australia","$200
Raised",Raised,"7%
Funded",Funded,,,"4
Supporters",Supporters
330,RYDER PENNINGTON,https://sportfunder.com/https://sportfunder.com/ryderpennington/28041,"background-image: url(""https://files.makeachamp.com/54e39206-ceb0-46fe-8dad-0da028f4be17/-/crop/812x457/21,136/-/preview/"");","background-image: url(""https://files.makeachamp.com/3d101c3c-4dc7-40d3-9eaa-47c8f70b749b/-/crop/1406x1406/0,0/-/preview/-/resize/400/"");",Surfing,https://sportfunder.com/https://sportfunder.com/teams/surfing,Be part of my journey to the podium!,"New Plymouth , Taranaki, New Zealand","$220
Raised",Raised,"7%
Funded",Funded,,,"19
Supporters",Supporters
331,LETSPLAYHOCKEY_MK - C/O CLAIRE EASON-BASSETT,https://sportfunder.com/https://sportfunder.com/letsplayhockey-mk/29374,"background-image: url(""https://files.makeachamp.com/03054e4b-3fbc-492e-b4d7-c3fe4b3b6611/-/crop/1173x661/32,5/-/preview/-/resize/1200/"");","background-image: url(""https://files.makeachamp.com/4aabae7a-bb5e-4ae4-97e9-036d317549b6/-/crop/762x883/127,77/-/preview/-/resize/400/"");",Hockey,https://sportfunder.com/https://sportfunder.com/teams/hockey,Keep Elite League Ice Hockey in Milton Keynes,"Milton Keynes, England, United Kingdom","£3,335
Raised",Raised,"7%
Funded",Funded,,,"39
Supporters",Supporters
332,RICHMOND ISLANDERS 05B,https://sportfunder.com/https://sportfunder.com/richmondislanders05b/30873,"background-image: url(""https://files.makeachamp.com/52343d19-890b-4f6e-8b1e-f1ead94d426b/-/crop/4258x3192/482,0/-/preview/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/9fea310c-4f69-4c2a-b817-23cb0298877a/-/resize/400/"");",Softball,https://sportfunder.com/https://sportfunder.com/teams/softball,Help us get to Japan!,"Richmond, British Columbia, Canada","$725
Raised",Raised,"7%
Funded",Funded,,,"28
Supporters",Supporters
333,HIGH PLAINS GYMNASTICS,https://sportfunder.com/https://sportfunder.com/highplainsgymnastics/31014,"background-image: url(""https://files.makeachamp.com/34d55a87-2633-41a4-87a9-fb98fb43bfa3/"");","background-image: url(""https://files.makeachamp.com/49e93ef8-1bd5-420d-8c46-b5160b5d2a64/-/resize/400/"");",Gymnastics,https://sportfunder.com/https://sportfunder.com/teams/gymnastics,Join our journey for CARA Gymnastics Competition....,"Fort Morgan, Colorado, United States","$2,180
Raised",Raised,"73%
Funded",Funded,,,"8
Supporters",Supporters
334,JACI WRIGHT,https://sportfunder.com/https://sportfunder.com/jaymay/40369,"background-image: url(""https://files.makeachamp.com/0fe0e626-7b98-4d97-834e-3bd742f5ed20/-/crop/948x711/6,0/-/preview/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/eaac90de-c9cd-4717-a9f8-6146f65c2b68/-/crop/1176x1852/86,176/-/preview/-/resize/400/"");",Track And Field,https://sportfunder.com/https://sportfunder.com/teams/track-and-field,Be part of my journey to the USATF Youth Outdoor...,"Atlanta, Georgia, United States","$570
Raised",Raised,"7%
Funded",Funded,,,"11
Supporters",Supporters
335,SHAÏM PARET,https://sportfunder.com/https://sportfunder.com/shaimparet/2817,"background-image: url(""https://files.makeachamp.com/40c23dd7-a9dd-4bea-8418-5b69dd563fff/-/crop/767x768/123,0/-/preview/-/resize/400/"");","background-image: url(""http://makeachamp.com/images/logo-national-judo.jpg"");",Judo,https://sportfunder.com/https://sportfunder.com/teams/judo,Vers le titre de champion canadien 2014!,"Montréal, Québec, Canada","$31
Raised",Raised,"6%
Funded",Funded,,,"2
Supporters",Supporters
336,WOLPACK ELITE,https://sportfunder.com/https://sportfunder.com/ymhawolfpackelite/3389,"background-image: url(""http://www.filepicker.io/api/file/cPyMpflcSguJKCQxf2CL/convert?h=600&quality=100"");","background-image: url(""https://www.filepicker.io/api/file/NOzWeSfSHmbD80Uxqdas/convert?w=400"");",Basketball,https://sportfunder.com/https://sportfunder.com/teams/basketball,Travelling for Gold in the United States,"Montreal, Quebec, Canada","$1,016.25
Raised",Raised,"20%
Funded",Funded,,,"42
Supporters",Supporters
337,LIAM TEETZEL,https://sportfunder.com/https://sportfunder.com/liamteetzel/4842,"background-image: url(""https://www.filepicker.io/api/file/ez5rSI5sRuOBGkowrYwZ/convert?w=400"");","background-image: url(""http://makeachamp.com/images/logo-national-judo.jpg"");",Judo,https://sportfunder.com/https://sportfunder.com/teams/judo,Canadian Judo Nationals,"Fernie, British Columbia, Canada","$91
Raised",Raised,"6%
Funded",Funded,,,"5
Supporters",Supporters
338,BRAXTON CLARK,https://sportfunder.com/https://sportfunder.com/braxtonclark/4966,"background-image: url(""https://www.filepicker.io/api/file/QJKeHusgSIGzQYTeoLxk/convert?w=400"");","background-image: url(""http://makeachamp.com/images/logo-national-judo.jpg"");",Judo,https://sportfunder.com/https://sportfunder.com/teams/judo,Going for gold,,"$31
Raised",Raised,"6%
Funded",Funded,,,"1
Supporters",Supporters
339,KRISTEN YAWNEY,https://sportfunder.com/https://sportfunder.com/kristenyawney/5050,"background-image: url(""https://www.filepicker.io/api/file/7dvM96yVSqCCZWYVi14L/convert?w=400"");","background-image: url(""http://makeachamp.com/images/logo-national-judo.jpg"");",Judo,https://sportfunder.com/https://sportfunder.com/teams/judo,Help Me Reach My Judo Goals,,"$31
Raised",Raised,"6%
Funded",Funded,,,"2
Supporters",Supporters
340,IPPON DOJO,https://sportfunder.com/https://sportfunder.com/ippondojo/18377,"background-image: url(""//files.makeachamp.com/b8efddfa-2a2f-424b-ad81-8ac1b2edbd83/-/resize/700/"");","background-image: url(""//files.makeachamp.com/c28c6a39-4dbc-4d94-9142-03df259ebad3/-/resize/300/"");",Karate,https://sportfunder.com/https://sportfunder.com/teams/karate,To develop Canada's best Karate athletes!,"Calgary, Alberta, Canada","$110
Raised",Raised,"6%
Funded",Funded,,,"6
Supporters",Supporters
341,COPA FORCE 1,https://sportfunder.com/https://sportfunder.com/copaforce1/27810,"background-image: url(""https://files.makeachamp.com/c23fb988-4b81-48a1-be4a-e275448ed4d7/-/crop/4953x2792/110,214/-/preview/-/resize/1200/"");","background-image: url(""https://files.makeachamp.com/d4e08ea8-f587-440f-8f84-a5f6d39bac66/-/resize/400/"");",Basketball,https://sportfunder.com/https://sportfunder.com/teams/basketball,Join our road to the Championships!,"Maricopa, Arizona, United States","$165
Raised",Raised,"6%
Funded",Funded,,,"10
Supporters",Supporters
342,CAMAGÜEY BASEBALL CLUB,https://sportfunder.com/https://sportfunder.com/camagueybaseballclub/27915,"background-image: url(""https://files.makeachamp.com/b2a4c5bc-613c-4953-bef4-183a7764f090/-/crop/507x381/38,58/-/preview/"");","background-image: url(""https://files.makeachamp.com/aeb310da-7c31-47a4-b11a-cc9a0b6ee4f8/-/resize/400/"");",Baseball,https://sportfunder.com/https://sportfunder.com/teams/baseball,Be part of our journey to the podium!,"Callao, Perú","$150
Raised",Raised,"6%
Funded",Funded,,,"2
Supporters",Supporters
343,ADIAN GREEN,https://sportfunder.com/https://sportfunder.com/chrisgreen/29442,"background-image: url(""https://files.makeachamp.com/452afcfe-15d3-4bb5-b583-121aaee3eb37/-/crop/720x541/0,210/-/preview/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/7bec555a-ff0a-4803-8174-411ed1a6d2e2/-/crop/710x711/0,62/-/preview/-/resize/400/"");",Hockey,https://sportfunder.com/https://sportfunder.com/teams/hockey,Be part of my spring hockey season,"Oromocto, New Brunswick, Canada","$120
Raised",Raised,"6%
Funded",Funded,,,"3
Supporters",Supporters
344,AC SHARKS 12U HOCKEY TEAM,https://sportfunder.com/https://sportfunder.com/acsharksuhockeyteam/31231,"background-image: url(""https://files.makeachamp.com/23d12be8-3ea2-4326-bdaf-e8de8ff8e550/-/resize/1200/"");","background-image: url(""https://files.makeachamp.com/140ddd86-5a30-4f13-a48f-6dcf575189c4/-/crop/440x239/0,291/-/preview/-/resize/400/"");",Hockey,https://sportfunder.com/https://sportfunder.com/teams/hockey,Help us reach our tournament goals!!,"Atlantic City, New Jersey, United States","$985
Raised",Raised,"27%
Funded",Funded,,,"14
Supporters",Supporters
345,A.S.D. ARESE GTV,https://sportfunder.com/https://sportfunder.com/asdaresegtv/31811,"background-image: url(""https://files.makeachamp.com/d911b401-2e02-416c-a5a5-973485e79e1c/"");","background-image: url(""https://files.makeachamp.com/96951d98-a798-4b4f-8059-cf2d55318ed5/-/resize/400/"");",Running,https://sportfunder.com/https://sportfunder.com/teams/running,AI BLOCCHI DI PARTENZA!,"Arese, Lombardia, Italia","€170
Raised",Raised,"6%
Funded",Funded,,,"8
Supporters",Supporters
346,SPECTRUM STING DANCE TEAM,https://sportfunder.com/https://sportfunder.com/spectrumstingdanceteam/31855,"background-image: url(""https://files.makeachamp.com/c6aa82cb-1bda-4495-8a50-ac9243a80bdd/"");","background-image: url(""https://files.makeachamp.com/d85bb237-6fbb-4c85-a29b-4c4b02e8ef4a/-/resize/400/"");",Dance,https://sportfunder.com/https://sportfunder.com/teams/dance,Spectrum Dance Team Costume Fundraiser,"Elk River, Minnesota, United States","$55
Raised",Raised,"6%
Funded",Funded,,,"6
Supporters",Supporters
347,DJ,https://sportfunder.com/https://sportfunder.com/djtravelbaseball/40404,"background-image: url(""https://files.makeachamp.com/3a98e6e3-cc97-4593-b611-8a71948867c2/-/crop/606x342/0,188/-/preview/"");","background-image: url(""https://files.makeachamp.com/7962861e-6cef-4188-8578-3c0b9568086a/-/crop/461x733/89,113/-/preview/-/resize/400/"");",Baseball,https://sportfunder.com/https://sportfunder.com/teams/baseball,Be part of my journey to play USSSA world series...,"Norman, Oklahoma, United States","$125
Raised",Raised,"6%
Funded",Funded,154,Days left,,
348,STEINBACH SYNCHRO,https://sportfunder.com/https://sportfunder.com/steinbachsynchro/1233,"background-image: url(""https://www.filepicker.io/api/file/oL5odwCQQBaMn3SzZGeZ/convert?h=600&quality=100"");","background-image: url(""https://www.filepicker.io/api/file/bZ4ok6dTPyZRpzZOHHKB/convert?w=400"");",Synchronized Swimming,https://sportfunder.com/https://sportfunder.com/teams/synchronized-swimming,Launch our Competitive athletes!,"Steinbach, Manitoba, Canada","$325
Raised",Raised,"33%
Funded",Funded,,,"12
Supporters",Supporters
349,UQAM CITADINS,https://sportfunder.com/https://sportfunder.com/uqambasketball/7670,"background-image: url(""http://www.filepicker.io/api/file/GaOqfEc2STOcOIHhIy30/convert?h=600&quality=100"");","background-image: url(""https://files.makeachamp.com/8bfc524e-209b-47c9-ba4b-f823209b9c9a/"");",Basketball,https://sportfunder.com/https://sportfunder.com/teams/basketball,Aidez-nous à devenir une des meilleures...,Montréal,"$7,657
Raised",Raised,"153%
Funded",Funded,,,"18
Supporters",Supporters
350,ACADIA UNIVERSITY CHEERLEADING,https://sportfunder.com/https://sportfunder.com/acadiauniversitycheerleading/8246,"background-image: url(""https://www.filepicker.io/api/file/IhE3S1ZsTGgrD0zjGXjQ/convert?h=700&quality=100"");","background-image: url(""https://www.filepicker.io/api/file/p3b97kOlSw2dPGvcenSY/convert?w=400"");",Cheerleading,https://sportfunder.com/https://sportfunder.com/teams/cheerleading,Join Our Journey to Nationals,"Wolfville , Nova Scotia , Canada","$387
Raised",Raised,"5%
Funded",Funded,,,"34
Supporters",Supporters
351,PHILIP OSEI,https://sportfunder.com/https://sportfunder.com/philiposei/11110,"background-image: url(""https://files.makeachamp.com/e8271971-05f6-4f04-8ceb-f32f6ccfca96/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/680bc199-e44b-47b6-b6da-fe30082cae7e/-/resize/400/"");",Track And Field,https://sportfunder.com/https://sportfunder.com/teams/track-and-field,ROAD TO RIO OLYMPICS 2016,"Toronto, ON, Canada","$420
Raised",Raised,"5%
Funded",Funded,,,"10
Supporters",Supporters
352,MCGILL ALPINE SKI TEAM,https://sportfunder.com/https://sportfunder.com/mcgillalpineskiteam/13070,"background-image: url(""https://www.filepicker.io/api/file/8EIuGMMvQdW5e5WfZHdE"");","background-image: url(""https://www.filepicker.io/api/file/8KFQClJMRmKVByhHm3kK"");",Alpine Skiing,https://sportfunder.com/https://sportfunder.com/teams/alpine-skiing,Help the McGill Alpine Ski Team reach the podium!,"Montreal, QC, Canada","$5,602.17
Raised",Raised,"63%
Funded",Funded,,,"22
Supporters",Supporters
353,PHOENIXCHEERLEADING,https://sportfunder.com/https://sportfunder.com/phoenixcheerleading/17425,"background-image: url(""//files.makeachamp.com/8fd406c6-ef50-4543-880b-b70183be09b2/-/resize/700/"");","background-image: url(""//files.makeachamp.com/473c8896-0050-41b9-a521-1abdd5a1e9c2/-/crop/609x536/247,103/-/preview/-/resize/300/"");",Cheerleading,https://sportfunder.com/https://sportfunder.com/teams/cheerleading,Cheerleading worlds 2015,"Québec, QC, Canada","$408.05
Raised",Raised,"5%
Funded",Funded,,,"58
Supporters",Supporters
354,LAC ST. LOUIS U19AA RINGETTE TEAM,https://sportfunder.com/https://sportfunder.com/lslu19aa/19817,"background-image: url(""//files.makeachamp.com/0047b675-a322-4f94-8af3-a39dd989ac78/-/resize/700/"");","background-image: url(""//files.makeachamp.com/dd0683f5-2b38-44ae-8a81-92ddff476330/-/resize/400/"");",Ringette,https://sportfunder.com/https://sportfunder.com/teams/ringette,LSL U19AA Ringette Team 2015 Canadian Ringette...,"Montreal, QC, Canada","$100
Raised",Raised,"5%
Funded",Funded,,,"8
Supporters",Supporters
355,BETANCOURT FENCING SCHOOL,https://sportfunder.com/https://sportfunder.com/betancourt/28064,"background-image: url(""https://files.makeachamp.com/59018608-22f0-460f-906a-8a0be1d4d8ca/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/89e26778-1d70-4077-a3c7-008afb543c9c/-/crop/960x1081/0,141/-/preview/-/resize/400/"");",Fencing,https://sportfunder.com/https://sportfunder.com/teams/fencing,Help this brazilian fencing school get on its feet,"São Paulo, São Paulo, Brasil","$500
Raised",Raised,"5%
Funded",Funded,,,"4
Supporters",Supporters
356,MIGHTY DUCKS OF ALBERTA,https://sportfunder.com/https://sportfunder.com/mightyducksofalberta/29252,"background-image: url(""https://files.makeachamp.com/0ecfdde9-1fbe-4094-a817-f3993d7100ba/-/crop/2906x2180/0,364/-/preview/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/fe71ae5a-8f2e-4200-b22f-53d3df05bc4a/"");",Hockey,https://sportfunder.com/https://sportfunder.com/teams/hockey,Be part of our success at the North American...,"Alberta, Canada","$150
Raised",Raised,"15%
Funded",Funded,,,"2
Supporters",Supporters
357,SAMU VOLOTINEN,https://sportfunder.com/https://sportfunder.com/samuvolotinen/30881,"background-image: url(""https://files.makeachamp.com/b048f1c0-bc92-408e-a7ef-5149bed48c3b/-/crop/3016x2263/0,885/-/preview/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/3b1881a3-6f9b-4014-9297-7c94e853c349/-/crop/3016x1182/0,0/-/preview/-/resize/400/"");",Football,https://sportfunder.com/https://sportfunder.com/teams/football,Help young...,Suomi,"€140
Raised",Raised,"5%
Funded",Funded,,,"13
Supporters",Supporters
358,DONALD BROWN,https://sportfunder.com/https://sportfunder.com/donaldbrown/31536,"background-image: url(""https://files.makeachamp.com/8f9a0258-e35e-41a5-b11a-cca09bc884cc/-/resize/1200/"");","background-image: url(""https://files.makeachamp.com/9d022d54-f664-4b17-bbfb-33af62a47126/-/resize/400/"");",Wrestling,https://sportfunder.com/https://sportfunder.com/teams/wrestling,Join my journey to Impact Wrestling,"Washington, Georgia, United States","$100
Raised",Raised,"5%
Funded",Funded,,,"1
Supporters",Supporters
359,NATIONAL LACROSSE ASSOCIATION (NLA),https://sportfunder.com/https://sportfunder.com/nlapro/31921,"background-image: url(""https://files.makeachamp.com/c875cbef-38d0-4c9f-8f15-b136f4dcab6e/-/crop/400x300/0,193/-/preview/"");","background-image: url(""https://files.makeachamp.com/c0388c68-fefd-4c2b-a00e-eef9dd6d2857/-/crop/816x815/0,16/-/preview/-/resize/400/"");",Lacrosse,https://sportfunder.com/https://sportfunder.com/teams/lacrosse,Introducing a new style of Lacrosse. The National...,United States,"$1,005
Raised",Raised,"5%
Funded",Funded,,,"6
Supporters",Supporters
360,PG JUDO CLUB,https://sportfunder.com/https://sportfunder.com/pgjudoclub/5122,"background-image: url(""//files.makeachamp.com/cb5719f2-c21b-4e33-ab44-d5c2fc336a70/-/resize/400/"");","background-image: url(""http://makeachamp.com/images/logo-national-judo.jpg"");",Judo,https://sportfunder.com/https://sportfunder.com/teams/judo,Help 8 of our athletes go for the gold in Quebec,"Prince George , BC, Canada","$231
Raised",Raised,"4%
Funded",Funded,,,"16
Supporters",Supporters
361,KELSEY MCKINNON,https://sportfunder.com/https://sportfunder.com/kelseymckinnon/8658,"background-image: url(""https://www.filepicker.io/api/file/JMvR2yRXRbqa1e2esNmg/convert?w=400"");","background-image: url(""https://www.filepicker.io/api/file/CWNV16N5RWa4akl7vPIR/convert?w=400"");",Rugby,https://sportfunder.com/https://sportfunder.com/teams/rugby,Nationals here we come,,"$40
Raised",Raised,"4%
Funded",Funded,,,"2
Supporters",Supporters
362,TEAM CANADA DANCE,https://sportfunder.com/https://sportfunder.com/teamcanadadance/10482,"background-image: url(""http://www.filepicker.io/api/file/RIK2n3l8QbG35z2jjCsC/convert?h=600&quality=100"");","background-image: url(""https://www.filepicker.io/api/file/vjW5wmXUTzmN3UgoWFfm/convert?w=400"");",Dance,https://sportfunder.com/https://sportfunder.com/teams/dance,Team Canada Dance for the podium in Poland!,"Quebec, Canada","$200
Raised",Raised,"4%
Funded",Funded,,,"20
Supporters",Supporters
363,MCGILL KIN GAMES TEAM 2015,https://sportfunder.com/https://sportfunder.com/mcgillkingames/16833,"background-image: url(""//files.makeachamp.com/9b29a6b8-a3c6-4dee-903b-f2f4c73ad206/-/resize/700/"");","background-image: url(""//files.makeachamp.com/5cbaaee3-4b2d-42e1-9dbc-0546a76d4c06/-/resize/400/"");",Sitting Volleyball / Doctor Dodgeball,https://sportfunder.com/https://sportfunder.com/teams/sitting-volleyball-/-doctor-dodgeball,Help Us Reach 1st Place at The Kinesiology Games,"Montreal, Quebec, Canada","$3,711
Raised",Raised,"37%
Funded",Funded,,,"38
Supporters",Supporters
364,UQAM CITADINS,https://sportfunder.com/https://sportfunder.com/uqamvolleyball/23197,"background-image: url(""https://files.makeachamp.com/9e31545a-86c1-48d0-939e-230cb1dea4a4/-/crop/1344x1008/347,0/-/preview/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/8bfc524e-209b-47c9-ba4b-f823209b9c9a/"");",Volleyball,https://sportfunder.com/https://sportfunder.com/teams/volleyball,Ensemble en 1ère division!,"Montreal, Québec, Canada","$10,235
Raised",Raised,"102%
Funded",Funded,,,"30
Supporters",Supporters
365,DAWSON BLUES COED VOLLEYBALL,https://sportfunder.com/https://sportfunder.com/dawsonbluescoedvolleyball/23328,"background-image: url(""https://files.makeachamp.com/ba2be5d5-7413-4c19-b791-f2295244179d/-/crop/640x168/0,64/-/preview/"");","background-image: url(""https://files.makeachamp.com/796f9f7e-f0ee-486f-ad01-acf34a78586c/-/crop/338x338/362,309/-/preview/-/resize/400/"");",Volleyball,https://sportfunder.com/https://sportfunder.com/teams/volleyball,Blues Rule! Born to win!!!,"Montreal, Québec, Canada","$105
Raised",Raised,"4%
Funded",Funded,,,"10
Supporters",Supporters
366,MOUNT RAINIER HIGH SCHOOL FOOTBALL TEAM,https://sportfunder.com/https://sportfunder.com/mountrainierhighschoolfootballteam/25085,"background-image: url(""https://files.makeachamp.com/8a191264-31ad-4c7c-9ab3-89ee0901c612/-/crop/1197x673/0,3/-/preview/"");","background-image: url(""https://files.makeachamp.com/2ccf2137-476f-4a06-a6b6-8cc34f21f906/-/crop/1367x1366/341,0/-/preview/-/resize/400/"");",Football,https://sportfunder.com/https://sportfunder.com/teams/football,Join Ram Football's Quest for State of the Art...,"Des Moines, Washington, United States","$200
Raised",Raised,"4%
Funded",Funded,,,"8
Supporters",Supporters
367,TEAM GUNNLAUGSON,https://sportfunder.com/https://sportfunder.com/teamgunnlaugson/25493,"background-image: url(""https://files.makeachamp.com/8f8e2636-e639-4b0d-97b5-7a1a3ca3ff67/-/crop/4213x3159/202,0/-/preview/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/a6d9fef2-6e60-4c84-adc4-3efc02954091/-/crop/673x673/1,0/-/preview/-/resize/400/"");",Curling,https://sportfunder.com/https://sportfunder.com/teams/curling,Team Gunnlaugson: Journey to the Slams!,"Winnipeg, Manitoba, Canada","$200
Raised",Raised,"4%
Funded",Funded,,,"8
Supporters",Supporters
368,ÉLIZABETH LAMONTAGNE,https://sportfunder.com/https://sportfunder.com/marathondenorah/25701,"background-image: url(""https://files.makeachamp.com/520a8335-0721-4190-91c6-25b0fb4fe60c/-/crop/3264x2448/0,333/-/preview/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/91e45e9d-c7d7-41a0-9031-2ee97e96b2a4/-/crop/587x587/171,0/-/preview/-/resize/400/"");",Running,https://sportfunder.com/https://sportfunder.com/teams/running,Ensemble pour la recherche contre le cancer!,"Québec, Canada","$35
Raised",Raised,"4%
Funded",Funded,,,"6
Supporters",Supporters
369,MICHAEL KNUPFER,https://sportfunder.com/https://sportfunder.com/michaelknupfer/29540,"background-image: url(""https://files.makeachamp.com/83c2a2c6-773c-4cef-b2c2-32a4ee02d370/-/crop/1080x811/0,1013/-/preview/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/090fe479-91cd-4310-95f1-1081476c1483/-/crop/554x554/286,124/-/preview/-/resize/400/"");",Hockey,https://sportfunder.com/https://sportfunder.com/teams/hockey,Be part of Preston's journey and Story.,"Elma Center, New York, United States","$189.75
Raised",Raised,"4%
Funded",Funded,,,"8
Supporters",Supporters
370,HELLENIC POLE & AERIAL SPORT TEAM,https://sportfunder.com/https://sportfunder.com/hellenicpolesportfederation/29860,"background-image: url(""https://files.makeachamp.com/f2e5d031-7b7a-4200-ae8c-be74e617bc89/-/resize/1200/"");","background-image: url(""https://files.makeachamp.com/e8cb253d-4f0e-4337-b925-c89be1dc88fc/-/resize/400/"");",Pole Sport - Aerial Hoop Sport,https://sportfunder.com/https://sportfunder.com/athletes/pole-sport-aerial-hoop-sport,Help us to compete for the World Pole Sport &...,Ελλάδα,"€214.50
Raised",Raised,"4%
Funded",Funded,,,"12
Supporters",Supporters
371,NE BASSIN RI,https://sportfunder.com/https://sportfunder.com/nebassinri/30903,"background-image: url(""https://files.makeachamp.com/0c95217f-ad25-4aee-ae07-7e960afceb9c/-/crop/427x320/112,0/-/preview/"");","background-image: url(""https://files.makeachamp.com/c812dac6-173f-4f76-ad3a-8132220baf8c/-/resize/400/"");",Fishing,https://sportfunder.com/https://sportfunder.com/athletes/fishing,Be A Part Of Our Journey To Develop Fishing and...,"North Providence, Rhode Island, United States","$205
Raised",Raised,"4%
Funded",Funded,,,"6
Supporters",Supporters
372,MATIAS CANDIA,https://sportfunder.com/https://sportfunder.com/matiascandia/40123,"background-image: url(""https://files.makeachamp.com/daab3748-9147-47c8-8f02-37883938df13/-/crop/583x438/70,27/-/preview/-/resize/700/"");","background-image: url(""https://files.makeachamp.com/2a05deec-b539-4444-bd97-4006e700ffad/-/resize/400/"");",NULL,NULL,Ayudanos a hacer historia en el mundialito de...,Chile,"$55
Raised",Raised,"4%
Funded",Funded,,,"5
Supporters",Supporters
373,IMMANUEL CHRISTIAN SCHOOL GIRLS BASKETBALL,https://sportfunder.com/https://sportfunder.com/immanuelchristianschoolgirlsbasketball/40240,"background-image: url(""https://files.makeachamp.com/f3a1d15a-45ed-4930-931d-540fc9714ce0/"");","background-image: url(""https://files.makeachamp.com/cfa04d35-4131-4147-9fde-8b82771b79e4/-/crop/618x421/0,107/-/preview/-/resize/400/"");",Basketball,https://sportfunder.com/https://sportfunder.com/teams/basketball,Join our road to the Championships! Be part of...,"El Paso, Texas, United States","$3,631
Raised",Raised,"7%
Funded",Funded,,,"28
Supporters",Supporters
374,ALEJANDRO MENENDEZ,https://sportfunder.com/https://sportfunder.com/alejandromenendez/298,"background-image: url(""/media/champions/users/cmps/1087-13-09-10-10-09-32.jpg"");","background-image: url(""//d1idjbb9jmy0ec.cloudfront.net/media/champions/users/1057.jpg"");",Judo,https://sportfunder.com/https://sportfunder.com/teams/judo,Help me get Gold in the 2013 Jr. World...,"Miami, Florida, U.S.A.","$106
Raised",Raised,"3%
Funded",Funded,,,"20
Supporters",Supporters
375,JORDAN LANDRY,https://sportfunder.com/https://sportfunder.com/jordanlandry/4242,"background-image: url(""https://www.filepicker.io/api/file/gEtqnoTtROHMYnatsfkl/convert?w=400"");","background-image: url(""http://makeachamp.com/images/logo-national-judo.jpg"");",Judo,https://sportfunder.com/https://sportfunder.com/teams/judo,Fund,"Edmonton, Alberta, Canada","$51
Raised",Raised,"3%
Funded",Funded,,,"2
Supporters",Supporters
376,GEORGE ST-AMOUR,https://sportfunder.com/https://sportfunder.com/georgestamour/5142,"background-image: url(""https://www.filepicker.io/api/file/lMZ6yWQXQkWRC218Bp4t/convert?w=400"");","background-image: url(""http://makeachamp.com/images/logo-national-judo.jpg"");",Judo,https://sportfunder.com/https://sportfunder.com/teams/judo,Determined to win gold at the Canadian judo...,"Surrey, BC, Canada","$31
Raised",Raised,"3%
Funded",Funded,,,"1
Supporters",Supporters
377,MARTIAL ARTS DEVELOPMENT,https://sportfunder.com/https://sportfunder.com/martialartsdevelopment/6374,"background-image: url(""https://www.filepicker.io/api/file/mNOcHCxEQNKNSOtX3BJj/convert?h=600&quality=100"");","background-image: url(""https://www.filepicker.io/api/file/EMVAT89xT7iElEIWJU3c/convert?w=400"");",Mixed Martial Arts,https://sportfunder.com/https://sportfunder.com/teams/mixed-martial-arts,A FUND FOR FUTURE CHAMPIONS,,"$95
Raised",Raised,"3%
Funded",Funded,,,"10
Supporters",Supporters
378,CÉGEP ANDRÉ-LAURENDEAU,https://sportfunder.com/https://sportfunder.com/algolf/10202,"background-image: url(""https://www.filepicker.io/api/file/6kFywqgjQ3yIQZvpaTUA/convert?w=400"");","background-image: url(""https://www.filepicker.io/api/file/f9TQhna8TrOSdzMGmiTr"");",Golf,https://sportfunder.com/https://sportfunder.com/teams/golf,Participer à un camps de perfectionnement,"Montréal, Québec","$930
Raised",Raised,"31%
Funded",Funded,,,"2
Supporters",Supporters
